floss#,description,red,green,blue,hex,row,prim-sec-ter
967,Apricot Very Light,255,222,213,FFDED5,row 14-21,Apricot
3824,Apricot Light,254,205,194,FECDC2,row 14-22,Apricot
3341,Apricot,252,171,152,FCAB98,row 14-23,Apricot
3340,Apricot Med,255,131,111,FF836F,row 14-24,Apricot
993,Aquamarine Vy Lt,144,192,180,90C0B4,row 09-08,Blue
992,Aquamarine Lt,111,174,159,6FAE9F,row 09-09,Blue
3814,Aquamarine,80,139,125,508B7D,row 09-10,Blue
991,Aquamarine Dk,71,123,110,477B6E,row 09-11,Blue
3864,Mocha Beige Light,203,182,156,CBB69C,row 17-20,Beige
3863,Mocha Beige Med,164,131,92,A4835C,row 17-21,Beige
3862,Mocha Beige Dark,138,110,78,8A6E4E,row 17-22,Beige
3047,Yellow Beige Lt,231,214,193,E7D6C1,row 13-05,Beige
3046,Yellow Beige Md,216,188,154,D8BC9A,row 13-06,Beige
3045,Yellow Beige Dk,188,150,106,BC966A,row 13-07,Beige
167,Yellow Beige V Dk,167,124,73,A77C49,row 13-08,Beige
310,Black,0,0,0,0,row 19-16,Black
162,Blue Ultra Very Light,219,236,245,DBECF5,row 06-11,Blue
827,Blue Very Light,189,221,237,BDDDED,row 06-12,Blue
813,Blue Light,161,194,215,A1C2D7,row 06-13,Blue
826,Blue Medium,107,158,191,6B9EBF,row 06-14,Blue
825,Blue Dark,71,129,165,4781A5,row 06-15,Blue
824,Blue Very Dark,57,105,135,396987,row 06-16,Blue
3753,Antique Blue Ult Vy Lt,219,226,233,DBE2E9,row 07-16,Blue
3752,Antique Blue Very Lt,199,209,219,C7D1DB,row 07-17,Blue
932,Antique Blue Light,162,181,198,A2B5C6,row 07-18,Blue
931,Antique Blue Medium,106,133,158,6A859E,row 07-19,Blue
930,Antique Blue Dark,69,92,113,455C71,row 07-20,Blue
3750,Antique Blue Very Dk,56,76,94,384C5E,row 07-21,Blue
3756,Baby Blue Ult Vy Lt,238,252,252,EEFCFC,row 07-04,Blue
775,Baby Blue Very Light,217,235,241,D9EBF1,row 07-05,Blue
3841,Baby Blue Pale,205,223,237,CDDFED,row 07-06,Blue
3325,Baby Blue Light,184,210,230,B8D2E6,row 07-07,Blue
3755,Baby Blue,147,180,206,92B4CE,row 07-08,Blue
334,Baby Blue Medium,115,159,193,739FC1,row 07-09,Blue
322,Baby Blue Dark,90,143,184,5A8FB8,row 07-10,Blue
312,Baby Blue Very Dark,53,102,139,35668B,row 07-11,Blue
803,Baby Blue Ult Vy Dk,44,89,124,2C597C,row 07-12,Blue
157,Cornflower Blue Vy Lt,187,195,217,BBC3D9,row 05-19,Blue
794,Cornflower Blue Light,143,156,193,8F9CC1,row 05-20,Blue
793,Cornflower Blue Med,112,125,162,707DA2,row 05-21,Blue
3807,Cornflower Blue,96,103,140,60678C,row 05-22,Blue
792,Cornflower Blue Dark,85,91,123,555B7B,row 05-23,Blue
158,Cornflower Blu M V D,76,82,110,4C526E,row 05-24,Blue
791,Cornflower Blue V D,70,69,99,464563,row 05-25,Blue
800,Delft Blue Pale,192,204,222,C0CCDE,row 06-04,Blue
809,Delft Blue,148,168,198,94A8C6,row 06-05,Blue
799,Delft Blue Medium,116,142,182,748EB6,row 06-06,Blue
798,Delft Blue Dark,70,106,142,466A8E,row 06-07,Blue
996,Electric Blue Medium,48,194,236,30C2EC,row 06-17,Blue
3843,Electric Blue,20,170,208,14AAD0,row 06-18,Blue
