thread#,description,red,green,blue,row
550,Violet Very Dark,92,24,78,row 05-11
3743,Antique Violet Vy Lt,215,203,211,row 04-15
3042,Antique Violet Light,183,157,167,row 04-16
3041,Antique Violet Medium,149,111,124,row 04-17
3740,Antique Violet Dark,120,87,98,row 04-18
3747,Blue Violet Vy Lt,211,215,237,row 05-12
341,Blue Violet Light,183,191,221,row 05-13
156,Blue Violet Med Lt,163,174,209,row 05-14
340,Blue Violet Medium,173,167,199,row 05-15
155,Blue Violet Med Dark,152,145,182,row 05-16
3746,Blue Violet Dark,119,107,152,row 05-17
333,Blue Violet Very Dark,92,84,120,row 05-18
518,Wedgewood Light,79,147,167,row 08-04
3760,Wedgewood Med,62,133,162,row 08-05
517,Wedgewood Dark,59,118,143,row 08-06
3842,Wedgewood Vry Dk,50,102,124,row 08-07
311,Wedgewood Ult VyDk,28,80,102,row 08-08
White,White,252,251,248,row 18-02
3865,Winter White,249,247,241,row 18-03
743,Yellow Med,254,211,118,row 14-12
3823,Yellow Ultra Pale,255,253,227,row 15-19
3078,Golden Yellow Vy Lt,253,249,205,row 14-05
745,Yellow Pale Light,255,233,173,row 14-10
744,Yellow Pale,255,231,147,row 14-11
